"Distance"	"Drug"
17.88519003	0
38.95647471	0
38.30641777	0
28.57587641	0
27.7008281	0
49.76275062	0
28.90859882	0
20.38375102	0
34.02606089	0
68.33965009	0
32.64110238	0
34.78847168	0
43.97712119	0
33.92194898	0
28.32076086	0
44.10904801	0
36.1004166	0
29.91490937	0
36.06103592	0
47.38525091	0
36.85056898	0
37.69398391	0
63.03186772	0
26.23736688	0
29.14904073	1
28.23566318	1
27.36386562	1
35.6830375	1
31.11659737	1
20.76762436	1
56.61174513	1
21.79414164	1
27.53514054	1
22.49865188	1
24.88332703	1
20.08799578	1
22.55237743	1
19.00892035	1
28.1305356	1
26.30373309	1
59.11180541	0
55.89531371	0
30.56152227	0
27.59618099	0
40.77887292	0
356.9650324	0
28.58810746	0
19.81643005	0
34.21143139	0
158.6952563	0
55.03242005	0
33.49640815	0
34.50878857	0
21.91755017	0
23.33450377	0
44.26713126	0
35.59477284	0
43.25145136	0
29.64717229	0
21.26819242	0
33.06628891	0
87.00657244	0
47.97827471	0
34.41316316	0
47.49281269	0
19.69734407	0
29.86495784	0
32.91922464	0
25.94295063	0
24.17470785	0
29.65505473	0
43.34176348	0
30.72871548	0
25.93796166	0
33.2419667	0
34.47430004	0
38.54632687	0
28.86647061	0
58.71956858	0
32.49329641	0
25.35843694	1
49.80591189	1
82.0252332	1
37.6608866	1
23.75116422	1
14.81769761	1
28.92172681	1
346.7227035	1
27.30777788	1
30.51632682	1
32.07196668	1
29.71833596	1
48.49456335	1
34.57385817	1
28.17938433	1
29.67949619	1
27.64866451	1
39.48102174	1
45.96477212	1
27.85791817	1
31.89521523	1
35.82687793	1
38.52816809	1
65.66494109	1
32.96489913	1
27.86238613	1
19.53949731	1
21.22388067	1
30.43179238	1
24.30069973	1
54.32926452	1
34.12509183	1
18.67868981	1
37.05515943	1
28.68742874	1
39.55687344	1
42.05160765	1
40.94437227	1
27.38508765	1
